iter	Passed	Remaining
0	1	183
1	3	157
2	4	151
3	5	140
4	7	135
5	8	132
6	10	141
7	12	147
8	14	142
9	15	139
10	17	139
11	18	135
12	19	130
13	20	126
14	21	123
15	22	119
16	24	117
17	25	114
18	26	111
19	27	111
20	29	109
21	30	106
22	31	104
23	32	101
24	33	99
25	34	97
26	35	95
27	36	93
28	37	92
29	38	90
30	39	88
31	41	87
32	42	86
33	43	84
34	44	82
35	45	81
36	46	79
37	47	77
38	48	76
39	50	75
40	51	74
41	51	71
42	53	70
43	54	68
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	56
53	65	55
54	65	53
55	66	52
56	67	51
57	68	49
58	70	48
59	71	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	81	38
68	82	37
69	84	36
70	86	35
71	87	34
72	88	32
73	90	31
74	90	30
75	91	29
76	92	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
