iter	RMSE
0	15.07430384
1	14.6745955
2	14.30774205
3	13.94831976
4	13.61091903
5	13.32019494
6	13.01976979
7	12.74132409
8	12.48300322
9	12.18094061
10	11.88836608
11	11.64780643
12	11.42609088
13	11.18079471
14	10.93483654
15	10.68458009
16	10.46965384
17	10.25944551
18	10.04248691
19	9.848592996
20	9.677733944
21	9.5205433
22	9.341054734
23	9.176047
24	9.017716487
25	8.865771072
26	8.724607456
27	8.597342559
28	8.46397499
29	8.32800627
30	8.198692258
31	8.083548864
32	7.977863497
33	7.875341704
34	7.767793768
35	7.66911248
36	7.570224839
37	7.486618401
38	7.395407235
39	7.31240882
40	7.235760334
41	7.155275614
42	7.074921401
43	7.007470169
44	6.943697809
45	6.881340269
46	6.808074358
47	6.749009165
48	6.681111759
49	6.621857574
50	6.563950536
51	6.503542048
52	6.455248503
53	6.410815217
54	6.360274108
55	6.315178421
56	6.267061015
57	6.226260709
58	6.184537291
59	6.15050824
60	6.11686541
61	6.079208888
62	6.048593358
63	6.011398558
64	5.976106666
65	5.944146325
66	5.916544398
67	5.889103075
68	5.868878397
69	5.841776918
70	5.813643
71	5.7931967
72	5.769227365
73	5.743714728
74	5.719098526
75	5.697432687
76	5.679562348
77	5.65712244
78	5.638532295
79	5.616279117
80	5.599366489
81	5.583818487
82	5.567349176
83	5.552784796
84	5.535478867
85	5.515325398
86	5.501301354
87	5.489544064
88	5.475790549
89	5.461194052
90	5.447106399
91	5.43664923
92	5.421788744
93	5.41424291
94	5.403957539
95	5.390722656
96	5.382153326
97	5.370806499
98	5.358359908
99	5.349558444
100	5.336736697
101	5.326956522
102	5.319187519
103	5.306911285
104	5.295350834
105	5.282628195
106	5.272751399
107	5.265567335
108	5.258046611
109	5.250270864
110	5.239061849
111	5.23224738
112	5.222700386
113	5.213396823
114	5.205900125
115	5.193765164
116	5.187444532
117	5.17408066
118	5.164160434
119	5.15713602
120	5.151982465
121	5.145579889
122	5.138727917
123	5.130970059
124	5.127496734
125	5.122967425
126	5.11741973
127	5.109019205
128	5.099983499
129	5.093292714
130	5.083315933
131	5.079127909
132	5.06940918
133	5.065900239
134	5.059244331
135	5.054316055
136	5.049637121
137	5.04451121
138	5.039184958
139	5.037029198
140	5.032644739
141	5.027864427
142	5.024274036
143	5.020276717
144	5.016769766
145	5.012090855
146	5.007460785
147	5.003908919
148	4.998791006
149	4.995835798
150	4.993081026
151	4.98932675
152	4.984833497
153	4.980591889
154	4.976381019
155	4.970289433
156	4.961669272
157	4.957350728
158	4.953283136
159	4.948653946
160	4.946055977
161	4.942797808
162	4.936409607
163	4.931550135
164	4.928833457
165	4.92055235
166	4.915567464
167	4.911688602
168	4.901782397
169	4.897499137
170	4.892396195
171	4.890221626
172	4.886118188
173	4.882332577
174	4.878821414
175	4.874137637
176	4.87006961
177	4.86720502
178	4.864231371
179	4.862350508
180	4.856716118
181	4.852183158
182	4.847943383
183	4.842986808
184	4.839325646
185	4.833472517
186	4.82912347
187	4.823354918
188	4.816267742
189	4.810938607
190	4.804815585
191	4.801314393
192	4.795189078
193	4.789032847
194	4.785235191
195	4.77894657
196	4.77161335
197	4.766404019
198	4.761673456
199	4.754357849
200	4.750237753
201	4.748088618
202	4.743830406
203	4.739871171
204	4.736722945
205	4.730426647
206	4.724836657
207	4.722594032
208	4.716789279
209	4.715332646
210	4.711658548
211	4.706507898
212	4.70345014
213	4.699353538
214	4.696551609
215	4.69291244
216	4.689814372
217	4.687286215
218	4.685293011
219	4.682047406
220	4.678240162
221	4.675665038
222	4.672849565
223	4.667173685
224	4.665392885
225	4.663302492
226	4.657490776
227	4.655387162
228	4.6534006
229	4.647650686
230	4.643460014
231	4.637258473
232	4.632532198
233	4.628771982
234	4.626908931
235	4.623472239
236	4.622270972
237	4.618035609
238	4.616004285
239	4.61392201
240	4.611341267
241	4.609210005
242	4.605308604
243	4.602580704
244	4.597119554
245	4.59518259
246	4.592378922
247	4.588360035
248	4.585042319
249	4.581315732
250	4.579483823
251	4.577163146
252	4.575326867
253	4.570045803
254	4.567974103
255	4.562317064
256	4.558295326
257	4.556555767
258	4.552015805
259	4.550078126
260	4.547261368
261	4.542063584
262	4.536810932
263	4.535638813
264	4.532209399
265	4.529253234
266	4.526148268
267	4.522260135
268	4.521488395
269	4.519499738
270	4.516431931
271	4.514728218
272	4.510890495
273	4.504701632
274	4.498833427
275	4.494716297
276	4.49272381
277	4.490513058
278	4.486641573
279	4.481043949
280	4.478164236
281	4.471366686
282	4.468250228
283	4.466635931
284	4.464825797
285	4.462217199
286	4.456984356
287	4.451607651
288	4.447837369
289	4.442721004
290	4.438968665
291	4.430253855
292	4.428139643
293	4.426326398
294	4.423162483
295	4.420076973
296	4.413193104
297	4.411102812
298	4.407729988
299	4.405036879
300	4.402796938
301	4.402050027
302	4.396887753
303	4.393898467
304	4.391066436
305	4.389299719
306	4.38498136
307	4.379906391
308	4.373492077
309	4.366499445
310	4.365947882
311	4.362952613
312	4.359617017
313	4.35388849
314	4.347740342
315	4.343094211
316	4.337817135
317	4.332210219
318	4.326291685
319	4.323895411
320	4.32116651
321	4.316576695
322	4.312500459
323	4.31163561
324	4.310045372
325	4.307768982
326	4.303354942
327	4.302399548
328	4.297225407
329	4.295245745
330	4.294373012
331	4.291542729
332	4.28851364
333	4.28347424
334	4.282179709
335	4.277287145
336	4.275418449
337	4.269650414
338	4.26571184
339	4.261132759
340	4.255423437
341	4.251295327
342	4.250583388
343	4.249898407
344	4.244960126
345	4.241611255
346	4.239128665
347	4.234787494
348	4.232147958
349	4.228465367
350	4.225853078
351	4.219810621
352	4.2154718
353	4.212554995
354	4.209521457
355	4.20496259
356	4.20169534
357	4.195863763
358	4.194522373
359	4.192563213
360	4.188997465
361	4.18742989
362	4.183140135
363	4.179813102
364	4.177449409
365	4.173978169
366	4.168711024
367	4.16835359
368	4.163236632
369	4.160385373
370	4.158078264
371	4.154089684
372	4.152911023
373	4.151807113
374	4.15012014
375	4.144137857
376	4.14346611
377	4.139696704
378	4.137834692
379	4.13231079
380	4.127345438
381	4.125339002
382	4.120767463
383	4.116452321
384	4.112801552
385	4.112192536
386	4.109106106
387	4.106684316
388	4.105545918
389	4.100585632
390	4.096997534
391	4.092482806
392	4.08939628
393	4.0838517
394	4.081963029
395	4.07809891
396	4.076981512
397	4.070517865
398	4.069905816
399	4.064956396
400	4.0638766
401	4.058805314
402	4.056209945
403	4.053307101
404	4.051251776
405	4.049173851
406	4.048475526
407	4.04641996
408	4.042361531
409	4.039885733
410	4.035625326
411	4.03137498
412	4.028265428
413	4.026727512
414	4.023753737
415	4.018575579
416	4.012498994
417	4.008543692
418	4.005140307
419	4.002237594
420	3.996853284
421	3.995154717
422	3.991723476
423	3.989189002
424	3.987517155
425	3.986424041
426	3.985426608
427	3.981571453
428	3.975207034
429	3.970940262
430	3.967814008
431	3.96365498
432	3.957356092
433	3.953895849
434	3.952120147
435	3.949724426
436	3.948126975
437	3.946008841
438	3.941849747
439	3.939973986
440	3.93714673
441	3.935343946
442	3.932717872
443	3.927070264
444	3.926512395
445	3.92464385
446	3.920208834
447	3.918752208
448	3.918078185
449	3.917160196
450	3.916387606
451	3.912895211
452	3.907915189
453	3.906477783
454	3.902227722
455	3.901303002
456	3.89837858
457	3.894993433
458	3.889352762
459	3.888482154
460	3.8848069
461	3.879720145
462	3.878605587
463	3.877296357
464	3.876334337
465	3.876200195
466	3.874459385
467	3.871290214
468	3.869607691
469	3.868764221
470	3.863084243
471	3.859928326
472	3.859083247
473	3.856389009
474	3.849849703
475	3.846534499
476	3.843265021
477	3.84245318
478	3.838295106
479	3.834574882
480	3.832299984
481	3.831580649
482	3.8260353
483	3.821226444
484	3.820301566
485	3.817938816
486	3.812768847
487	3.811205112
488	3.81001003
489	3.803639419
490	3.800353198
491	3.797696513
492	3.794924881
493	3.791186752
494	3.790698331
495	3.785569867
496	3.783185733
497	3.77915753
498	3.777760499
499	3.777277705
500	3.774862476
501	3.77237905
502	3.772278453
503	3.770979178
504	3.769711588
505	3.769174029
506	3.766582923
507	3.765127031
508	3.7635056
509	3.762302987
510	3.756888506
511	3.753836305
512	3.749355768
513	3.746065172
514	3.742115806
515	3.738771226
516	3.734900097
517	3.729882047
518	3.725931429
519	3.724221342
520	3.721580262
521	3.718911604
522	3.715630342
523	3.7137368
524	3.710638508
525	3.707424507
526	3.705913772
527	3.702247696
528	3.701882051
529	3.699125789
530	3.696122625
531	3.69425266
532	3.690642636
533	3.687533268
534	3.686716877
535	3.685753436
536	3.684392317
537	3.681385092
538	3.67831203
539	3.677642948
540	3.676075821
541	3.674512223
542	3.673761903
543	3.672748574
544	3.67002197
545	3.666548177
546	3.663215322
547	3.660891175
548	3.657078339
549	3.655345989
550	3.654578628
551	3.653937937
552	3.651753797
553	3.650692134
554	3.6489377
555	3.64437716
556	3.643350722
557	3.641686215
558	3.641123242
559	3.638945011
560	3.6365894
561	3.6362998
562	3.634798293
563	3.631640834
564	3.630578317
565	3.629315675
566	3.626697346
567	3.621825366
568	3.619640632
569	3.618549125
570	3.615020785
571	3.61319678
572	3.612255212
573	3.611406213
574	3.609385775
575	3.607833939
576	3.607410654
577	3.605815796
578	3.60243866
579	3.599601132
580	3.599273461
581	3.596343916
582	3.594484691
583	3.591484091
584	3.589058396
585	3.584029116
586	3.582427542
587	3.579881413
588	3.576305086
589	3.574370165
590	3.570630234
591	3.567439667
592	3.564870122
593	3.562498151
594	3.557142326
595	3.554304933
596	3.554033954
597	3.551548809
598	3.548584272
599	3.546700356
600	3.542748199
601	3.540959149
602	3.54069822
603	3.535238203
604	3.532260959
605	3.528913091
606	3.52591298
607	3.524866052
608	3.523912878
609	3.522801433
610	3.519348048
611	3.517036144
612	3.515157419
613	3.51489688
614	3.511140458
615	3.510364814
616	3.510127021
617	3.505633169
618	3.5018871
